,index,latitude,longitude,address,id
82,794,31.234496,121.521516,31.234496-121.521516,82
83,798,31.240806,121.481992,31.240806-121.481992,83
84,803,31.229057,121.452254,31.229057-121.452254,84
85,814,31.159523,121.435774,31.159523-121.435774,85
86,823,31.230363,121.5056,31.230363-121.5056,86
87,826,31.263495,121.496653,31.263495-121.496653,87
88,827,31.235154,121.533056,31.235154-121.533056,88
89,830,31.18078,121.423677,31.18078-121.423677,89
90,831,31.251161,121.489743,31.251161-121.489743,90
91,833,31.283289,121.510576,31.283289-121.510576,91
92,836,31.275801,121.484797,31.275801-121.484797,92
93,838,31.261655,121.474716,31.261655-121.474716,93
94,840,31.258656,121.472538,31.258656-121.472538,94
95,841,31.248715,121.481228,31.248715-121.481228,95
96,848,31.24256,121.490511,31.24256-121.490511,96
97,849,31.188514,121.49841,31.188514-121.49841,97
98,851,31.178033,121.487803,31.178033-121.487803,98
99,852,31.244292,121.495265,31.244292-121.495265,99
100,858,31.237635,121.476519,31.237635-121.476519,100
101,859,31.240686,121.480699,31.240686-121.480699,101
102,876,31.168125,121.503534,31.168125-121.503534,102
103,879,31.180581,121.527653,31.180581-121.527653,103
104,880,31.230277,121.448573,31.230277-121.448573,104
105,886,31.241223,121.45891,31.241223-121.45891,105
106,889,31.251619,121.486701,31.251619-121.486701,106
107,890,31.246573,121.509144,31.246573-121.509144,107
108,895,31.228927,121.486896,31.228927-121.486896,108
109,903,31.240412,121.45723,31.240412-121.45723,109
110,913,31.225266,121.444323,31.225266-121.444323,110
111,1020,31.248195,121.490929,31.248195-121.490929,111
112,1021,31.227165,121.480195,31.227165-121.480195,112
113,1026,31.240869,121.481603,31.240869-121.481603,113
114,1047,31.257123,121.503291,31.257123-121.503291,114
115,1048,31.223665,121.458791,31.223665-121.458791,115
116,1066,31.217372,121.460724,31.217372-121.460724,116
117,1084,31.234225,121.525481,31.234225-121.525481,117
118,1087,31.250734,121.487731,31.250734-121.487731,118
119,1097,31.231585,121.517218,31.231585-121.517218,119
120,1104,31.243738,121.486223,31.243738-121.486223,120
121,1108,31.238561,121.455041,31.238561-121.455041,121
122,1113,31.227762,121.495598,31.227762-121.495598,122
123,1116,31.233644,121.525549,31.233644-121.525549,123
124,1121,31.251584,121.4917,31.251584-121.4917,124
125,1167,31.230748,121.485488,31.230748-121.485488,125
126,1178,41.677262,125.960124,41.677262-125.960124,126
127,1179,31.245242,121.479617,31.245242-121.479617,127
128,1182,31.206958,121.591146,31.206958-121.591146,128
129,1185,31.214719,121.624972,31.214719-121.624972,129
130,1188,31.154675,121.81374,31.154675-121.81374,130
131,1191,30.963494,121.160188,30.963494-121.160188,131
132,1192,31.232853,121.486408,31.232853-121.486408,132
133,1193,31.215428,121.660427,31.215428-121.660427,133
134,1194,31.249918,121.47846,31.249918-121.47846,134
135,1195,31.242261,121.507912,31.242261-121.507912,135
136,1204,31.243463,121.4907,31.243463-121.4907,136
137,1207,31.238593,121.450062,31.238593-121.450062,137
138,1208,31.25079,121.48933,31.25079-121.48933,138
139,1224,31.240561,121.459431,31.240561-121.459431,139
140,1228,31.234688,121.502656,31.234688-121.502656,140
141,1229,31.252974,121.502684,31.252974-121.502684,141
142,1237,31.222119,121.454078,31.222119-121.454078,142
143,1286,31.228755,121.523626,31.228755-121.523626,143
144,1328,31.247955,121.495452,31.247955-121.495452,144
145,1329,31.25037,121.488549,31.25037-121.488549,145
146,1334,31.174053,121.282683,31.174053-121.282683,146
147,1411,31.127837,121.380654,31.127837-121.380654,147
148,1430,31.045101,121.223676,31.045101-121.223676,148
149,1464,31.140855,121.360032,31.140855-121.360032,149
150,1514,31.025763,121.541983,31.025763-121.541983,150
151,1540,31.147903,121.403379,31.147903-121.403379,151
152,1558,31.036404,121.272345,31.036404-121.272345,152
153,1571,31.025227,121.44251,31.025227-121.44251,153
154,1598,31.19232,121.142889,31.19232-121.142889,154
155,1626,31.099642,121.449578,31.099642-121.449578,155
156,1661,31.10888,121.390919,31.10888-121.390919,156
157,1694,31.157536,121.203337,31.157536-121.203337,157
158,1761,31.146522,121.352501,31.146522-121.352501,158
159,1872,31.021245,121.226791,31.021245-121.226791,159
160,1883,31.038964,121.2261,31.038964-121.2261,160
161,1885,31.131231,121.398758,31.131231-121.398758,161
162,1964,31.131416,121.429704,31.131416-121.429704,162
163,1981,31.143754,121.434357,31.143754-121.434357,163
164,1991,31.142941,121.443942,31.142941-121.443942,164
165,2015,31.111821,121.385462,31.111821-121.385462,165
166,2085,31.074013,121.407487,31.074013-121.407487,166
167,2105,31.042415,121.482986,31.042415-121.482986,167
168,2116,31.016895,121.42971,31.016895-121.42971,168
169,2134,31.002479,121.390889,31.002479-121.390889,169
170,2141,31.158843,121.127268,31.158843-121.127268,170
171,2159,31.178359,121.279284,31.178359-121.279284,171
172,2186,31.15228,121.118001,31.15228-121.118001,172
173,2204,31.120864,121.389141,31.120864-121.389141,173
174,2256,31.111396,121.379353,31.111396-121.379353,174
175,2308,31.012788,121.228073,31.012788-121.228073,175
176,2309,31.030657,121.236586,31.030657-121.236586,176
177,2318,46.247857,128.762232,46.247857-128.762232,177
178,2319,31.108792,121.061126,31.108792-121.061126,178
179,2328,31.114038,121.415096,31.114038-121.415096,179
180,2372,31.045068,121.232113,31.045068-121.232113,180
181,2373,31.129955,121.336848,31.129955-121.336848,181
182,2414,31.124501,121.32791,31.124501-121.32791,182
183,2441,31.011339,121.296295,31.011339-121.296295,183
184,2443,31.031459,121.300841,31.031459-121.300841,184
185,2482,31.084634,120.989297,31.084634-120.989297,185
186,2483,31.122623,121.433813,31.122623-121.433813,186
187,2527,31.141982,121.459872,31.141982-121.459872,187
188,2539,31.045834,121.408322,31.045834-121.408322,188
189,2594,31.015724,121.40907,31.015724-121.40907,189
190,2614,31.018176,121.418004,31.018176-121.418004,190
191,2659,31.038725,121.464203,31.038725-121.464203,191
192,2660,31.03333,121.427385,31.03333-121.427385,192
193,2721,31.044667,121.46191,31.044667-121.46191,193
194,2751,31.019533,121.388705,31.019533-121.388705,194
195,2763,31.128227,121.45441,31.128227-121.45441,195
196,2788,31.062583,121.44986,31.062583-121.44986,196
197,2802,24.284812,102.999068,24.284812-102.999068,197
198,2810,31.098558,121.377147,31.098558-121.377147,198
199,2832,31.102445,121.413911,31.102445-121.413911,199
200,2869,31.069757,121.399847,31.069757-121.399847,200
201,2902,31.137509,121.40768,31.137509-121.40768,201
202,3035,31.120714,121.42693,31.120714-121.42693,202
203,3159,31.106089,121.039819,31.106089-121.039819,203
204,3170,31.157362,121.221594,31.157362-121.221594,204
205,3180,30.982046,121.207872,30.982046-121.207872,205
206,3202,31.117005,121.271194,31.117005-121.271194,206
207,3271,31.124664,121.323455,31.124664-121.323455,207
208,3320,31.087306,121.275545,31.087306-121.275545,208
209,3350,31.06623,121.321933,31.06623-121.321933,209
210,3355,31.021462,121.321255,31.021462-121.321255,210
211,3361,31.009423,121.245898,31.009423-121.245898,211
212,3395,31.020065,121.23311,31.020065-121.23311,212
213,3444,31.038291,121.194794,31.038291-121.194794,213
214,3473,31.057696,121.207516,31.057696-121.207516,214
215,3476,31.071955,121.234457,31.071955-121.234457,215
216,3489,31.019982,121.244295,31.019982-121.244295,216
217,3514,31.011886,121.234971,31.011886-121.234971,217
218,3547,31.007327,121.431151,31.007327-121.431151,218
219,3559,31.005717,121.202014,31.005717-121.202014,219
220,3571,31.01217,121.265575,31.01217-121.265575,220
221,3589,31.040378,121.255563,31.040378-121.255563,221
222,3636,31.024911,121.255017,31.024911-121.255017,222
223,3639,31.08093,121.159291,31.08093-121.159291,223
224,3679,31.019691,121.249497,31.019691-121.249497,224
225,3708,31.015452,121.154814,31.015452-121.154814,225
226,3739,30.954604,121.333773,30.954604-121.333773,226
227,3793,31.142865,121.330843,31.142865-121.330843,227
228,3819,31.104981,121.360938,31.104981-121.360938,228
229,3839,31.096325,121.341209,31.096325-121.341209,229
230,3871,31.13756,121.339005,31.13756-121.339005,230
231,3921,31.077825,121.33981,31.077825-121.33981,231
232,3990,31.118723,121.248449,31.118723-121.248449,232
233,4006,31.134254,121.280533,31.134254-121.280533,233
234,4038,31.138371,121.416975,31.138371-121.416975,234
235,4063,31.115176,121.36579,31.115176-121.36579,235
236,4091,31.039155,121.241352,31.039155-121.241352,236
237,4092,31.116021,121.287621,31.116021-121.287621,237
238,4180,31.212113,121.444193,31.212113-121.444193,238
239,4182,31.1744,121.285083,31.1744-121.285083,239
240,4241,31.051731,121.423756,31.051731-121.423756,240
241,4244,31.050708,121.217094,31.050708-121.217094,241
242,4274,31.015959,121.227509,31.015959-121.227509,242
243,4299,30.996346,121.297687,30.996346-121.297687,243
244,4303,31.134484,121.42764,31.134484-121.42764,244
245,4305,30.893975,121.016922,30.893975-121.016922,245
246,4312,31.307215,121.486962,31.307215-121.486962,246
247,4357,30.893084,121.252519,30.893084-121.252519,247
248,4367,30.834815,121.197836,30.834815-121.197836,248
249,4376,30.796356,121.199264,30.796356-121.199264,249
250,4378,31.075231,121.436269,31.075231-121.436269,250
251,4389,31.105352,121.438535,31.105352-121.438535,251
252,4409,31.090076,121.406999,31.090076-121.406999,252
253,4430,31.012926,121.423939,31.012926-121.423939,253
254,4459,31.120753,121.381579,31.120753-121.381579,254
255,4503,31.150193,121.45419,31.150193-121.45419,255
256,4565,31.019246,121.250749,31.019246-121.250749,256
257,4611,31.147783,121.366475,31.147783-121.366475,257
258,4649,31.121152,121.141999,31.121152-121.141999,258
259,4672,31.007639,121.416247,31.007639-121.416247,259
260,4674,31.069261,121.375484,31.069261-121.375484,260
261,4709,31.130891,121.472384,31.130891-121.472384,261
262,4724,31.100465,121.401931,31.100465-121.401931,262
263,4743,31.10114,121.181649,31.10114-121.181649,263
264,4779,30.97533,121.271449,30.97533-121.271449,264
265,4784,31.054594,121.339133,31.054594-121.339133,265
266,4828,31.063923,121.353076,31.063923-121.353076,266
267,4881,31.066368,121.2082,31.066368-121.2082,267
268,4906,31.00153,121.235235,31.00153-121.235235,268
269,4908,31.035335,121.117893,31.035335-121.117893,269
270,4910,31.149628,121.43924,31.149628-121.43924,270
271,4956,31.121932,121.33481,31.121932-121.33481,271
272,5016,31.018376,121.40507,31.018376-121.40507,272
273,5025,31.080824,121.390896,31.080824-121.390896,273
274,5055,31.108876,121.345256,31.108876-121.345256,274
275,5095,31.04822,121.231928,31.04822-121.231928,275
276,5104,30.962059,121.244644,30.962059-121.244644,276
277,5107,31.087224,121.466989,31.087224-121.466989,277
278,5108,30.957104,121.146044,30.957104-121.146044,278
279,5111,31.121363,121.369095,31.121363-121.369095,279
280,5138,31.032565,121.409407,31.032565-121.409407,280
281,5161,30.939177,121.223182,30.939177-121.223182,281
282,5170,30.774911,121.259927,30.774911-121.259927,282
283,5173,31.113798,121.382691,31.113798-121.382691,283
284,5175,30.889117,121.317123,30.889117-121.317123,284
285,5176,31.163201,121.11139,31.163201-121.11139,285
286,5184,31.023331,121.315006,31.023331-121.315006,286
287,5189,31.038201,121.216468,31.038201-121.216468,287
288,5209,31.042348,121.28911,31.042348-121.28911,288
289,5212,31.030806,121.396875,31.030806-121.396875,289
290,5214,31.132785,121.413457,31.132785-121.413457,290
291,5279,31.095884,121.350551,31.095884-121.350551,291
292,5346,31.065995,121.314532,31.065995-121.314532,292
293,5347,31.010331,121.381275,31.010331-121.381275,293
294,5351,30.994999,121.264867,30.994999-121.264867,294
295,5353,31.099755,121.009542,31.099755-121.009542,295
296,5354,30.847557,121.226776,30.847557-121.226776,296
297,5373,31.048845,121.231719,31.048845-121.231719,297
298,5379,31.11794,121.457471,31.11794-121.457471,298
299,5384,31.057816,121.413943,31.057816-121.413943,299
300,5392,30.852446,121.262447,30.852446-121.262447,300
301,5394,31.054947,120.995325,31.054947-120.995325,301
302,5395,30.920347,121.057024,30.920347-121.057024,302
303,5403,30.894639,121.21016,30.894639-121.21016,303
304,5417,30.989121,121.127308,30.989121-121.127308,304
305,5420,31.130862,121.091425,31.130862-121.091425,305
306,5473,31.113159,121.06421,31.113159-121.06421,306
307,5487,31.17665,121.132941,31.17665-121.132941,307
308,5514,30.899117,121.175731,30.899117-121.175731,308
309,5542,31.07195,121.150279,31.07195-121.150279,309
310,5586,31.167279,121.113649,31.167279-121.113649,310
311,5603,31.148785,121.115114,31.148785-121.115114,311
312,5606,31.158515,121.1384,31.158515-121.1384,312
313,5631,31.171648,121.110276,31.171648-121.110276,313
314,5636,31.143297,121.132883,31.143297-121.132883,314
315,5638,31.119806,121.071074,31.119806-121.071074,315
316,5656,30.892415,121.023553,30.892415-121.023553,316
317,5671,30.795602,121.152307,30.795602-121.152307,317
318,5680,30.930023,121.011969,30.930023-121.011969,318
319,5684,31.018041,121.055413,31.018041-121.055413,319
320,5691,30.934254,121.279662,30.934254-121.279662,320
321,5701,31.259763,121.089338,31.259763-121.089338,321
322,5703,31.132602,121.095863,31.132602-121.095863,322
323,5704,31.105808,121.038742,31.105808-121.038742,323
324,5716,30.866409,121.188512,30.866409-121.188512,324
325,5717,30.879349,121.094749,30.879349-121.094749,325
326,5719,31.159536,121.1442,31.159536-121.1442,326
327,5725,30.867598,121.198612,30.867598-121.198612,327
328,5734,31.154875,121.131226,31.154875-121.131226,328
329,5746,31.165389,121.119468,31.165389-121.119468,329
330,5748,30.889377,121.176142,30.889377-121.176142,330
331,5780,31.16691,121.115166,31.16691-121.115166,331
332,5800,31.048503,121.141872,31.048503-121.141872,332
333,5804,31.219455,121.098597,31.219455-121.098597,333
334,5830,30.938138,121.327668,30.938138-121.327668,334
335,5845,30.935029,121.186594,30.935029-121.186594,335
336,5846,30.814394,121.18284,30.814394-121.18284,336
337,5850,30.898595,121.030128,30.898595-121.030128,337
338,5879,30.898527,121.22367,30.898527-121.22367,338
339,5904,28.738742,120.640606,28.738742-120.640606,339
340,5908,31.156928,121.121902,31.156928-121.121902,340
341,5909,25.222206,117.086322,25.222206-117.086322,341
342,5911,30.957633,121.343012,30.957633-121.343012,342
343,5924,31.137582,121.083916,31.137582-121.083916,343
344,5927,31.00953,121.052076,31.00953-121.052076,344
345,5933,30.941447,121.293964,30.941447-121.293964,345
346,5950,30.975236,121.195313,30.975236-121.195313,346
347,5956,31.109998,121.164842,31.109998-121.164842,347
348,5971,31.236935,121.106513,31.236935-121.106513,348
349,5977,31.119557,121.036331,31.119557-121.036331,349
350,5991,31.012108,121.074488,31.012108-121.074488,350
351,5993,30.858416,121.035215,30.858416-121.035215,351
352,6000,30.874563,121.067902,30.874563-121.067902,352
353,6023,30.831429,121.242309,30.831429-121.242309,353
354,6036,30.900763,121.246509,30.900763-121.246509,354
355,6041,30.87366,121.082631,30.87366-121.082631,355
356,6058,31.15702,121.106352,31.15702-121.106352,356
357,6060,30.993883,121.129758,30.993883-121.129758,357
358,6064,30.837343,121.275733,30.837343-121.275733,358
359,6067,31.184426,121.15811,31.184426-121.15811,359
360,6068,31.073061,120.970637,31.073061-120.970637,360
361,6091,31.144812,121.119606,31.144812-121.119606,361
362,6125,31.176489,121.188906,31.176489-121.188906,362
363,6130,30.990942,121.12541,30.990942-121.12541,363
364,6133,30.810888,121.234763,30.810888-121.234763,364
365,6135,31.109666,121.052906,31.109666-121.052906,365
366,6159,31.098359,121.073778,31.098359-121.073778,366
367,6166,31.068626,121.108326,31.068626-121.108326,367
368,6175,31.042021,121.204506,31.042021-121.204506,368
369,6205,30.89659,121.281933,30.89659-121.281933,369
370,6217,30.88883,121.130607,30.88883-121.130607,370
371,6228,30.773575,121.14093,30.773575-121.14093,371
372,6230,31.041762,120.928733,31.041762-120.928733,372
373,6242,31.081917,121.062248,31.081917-121.062248,373
374,6251,30.866289,121.103027,30.866289-121.103027,374
375,6267,30.829105,121.180127,30.829105-121.180127,375
376,6283,30.891157,121.186557,30.891157-121.186557,376
377,6286,30.889225,121.177092,30.889225-121.177092,377
378,6289,30.900013,121.049649,30.900013-121.049649,378
379,6295,31.143835,120.935676,31.143835-120.935676,379
380,6301,31.206089,121.105074,31.206089-121.105074,380
381,6306,31.004198,121.067198,31.004198-121.067198,381
382,6310,31.05815,120.970188,31.05815-120.970188,382
383,6317,30.945561,121.150834,30.945561-121.150834,383
384,6346,30.983162,121.054057,30.983162-121.054057,384
385,6364,31.057607,121.030715,31.057607-121.030715,385
386,6365,30.909885,121.195459,30.909885-121.195459,386
387,6374,30.80226,121.311879,30.80226-121.311879,387
388,6381,30.90618,121.178287,30.90618-121.178287,388
389,6383,30.99055,121.126163,30.99055-121.126163,389
390,6412,31.010877,121.240031,31.010877-121.240031,390
391,6413,31.152177,121.172752,31.152177-121.172752,391
392,6435,31.175318,121.181299,31.175318-121.181299,392
393,6488,31.132833,121.17281,31.132833-121.17281,393
394,6498,31.185228,121.1697,31.185228-121.1697,394
395,6508,31.188696,121.181232,31.188696-121.181232,395
396,6513,31.152749,121.182589,31.152749-121.182589,396
397,6516,31.101299,120.918138,31.101299-120.918138,397
398,6520,31.046753,121.062205,31.046753-121.062205,398
399,6521,30.94602,121.106186,30.94602-121.106186,399
400,6524,31.126748,120.934108,31.126748-120.934108,400
401,6525,30.802409,121.205114,30.802409-121.205114,401
402,6526,30.918284,120.995861,30.918284-120.995861,402
403,6528,31.317987,120.619907,31.317987-120.619907,403
404,6530,31.19706,121.095538,31.19706-121.095538,404
405,6540,31.092058,121.38753,31.092058-121.38753,405
406,6629,30.956973,121.097333,30.956973-121.097333,406
407,6633,30.943662,121.155665,30.943662-121.155665,407
408,6635,30.8406,121.251681,30.8406-121.251681,408
409,6642,31.150797,121.728702,31.150797-121.728702,409
410,6648,30.893492,121.315973,30.893492-121.315973,410
411,6681,30.904648,121.173227,30.904648-121.173227,411
412,6686,30.874727,121.250912,30.874727-121.250912,412
413,6687,30.929919,121.206039,30.929919-121.206039,413
414,6698,31.053198,120.907525,31.053198-120.907525,414
415,6733,31.060659,121.399957,31.060659-121.399957,415
416,6773,31.158559,121.319801,31.158559-121.319801,416
417,6833,31.123394,121.278015,31.123394-121.278015,417
418,6888,31.121127,121.243829,31.121127-121.243829,418
419,6908,31.127539,121.389284,31.127539-121.389284,419
420,6914,31.134786,121.444969,31.134786-121.444969,420
421,6963,31.109806,121.242241,31.109806-121.242241,421
422,6991,31.058407,121.330724,31.058407-121.330724,422
423,7012,31.064763,121.396913,31.064763-121.396913,423
424,7021,31.073134,121.317814,31.073134-121.317814,424
425,7027,31.044697,121.22462,31.044697-121.22462,425
426,7031,31.145654,121.375598,31.145654-121.375598,426
427,7037,31.106759,121.398956,31.106759-121.398956,427
428,7051,31.043159,121.420296,31.043159-121.420296,428
429,7059,31.102,121.462298,31.102-121.462298,429
430,7064,31.174217,121.289644,31.174217-121.289644,430
431,7066,30.999472,121.378674,30.999472-121.378674,431
432,7086,31.184319,121.230946,31.184319-121.230946,432
433,7131,31.127217,121.335543,31.127217-121.335543,433
434,7181,39.084494,117.236165,39.084494-117.236165,434
435,7185,31.023902,121.350511,31.023902-121.350511,435
436,7189,31.116103,121.43571,31.116103-121.43571,436
437,7250,31.053362,121.431405,31.053362-121.431405,437
438,7263,31.010467,121.237408,31.010467-121.237408,438
439,7287,31.047441,121.470836,31.047441-121.470836,439
440,7293,31.139656,121.378972,31.139656-121.378972,440
441,7294,31.13264,121.32443,31.13264-121.32443,441
442,7325,31.132311,121.362691,31.132311-121.362691,442
443,7344,30.986462,121.409757,30.986462-121.409757,443
444,7350,31.01613,121.203009,31.01613-121.203009,444
445,7360,31.151421,121.279419,31.151421-121.279419,445
446,7374,31.117844,121.402074,31.117844-121.402074,446
447,7450,31.018662,121.420209,31.018662-121.420209,447
448,7455,31.024417,121.471297,31.024417-121.471297,448
449,7460,31.054506,121.460002,31.054506-121.460002,449
450,7462,31.146551,121.235394,31.146551-121.235394,450
451,7491,31.184979,121.31046,31.184979-121.31046,451
452,7506,31.209704,121.368486,31.209704-121.368486,452
453,7509,31.039725,121.225427,31.039725-121.225427,453
454,7524,31.039158,121.239632,31.039158-121.239632,454
455,7550,30.975655,121.228194,30.975655-121.228194,455
456,7568,31.325382,121.553285,31.325382-121.553285,456
457,7579,31.036623,121.377512,31.036623-121.377512,457
458,7586,31.13107,121.298444,31.13107-121.298444,458
459,7619,31.038911,121.226883,31.038911-121.226883,459
460,7636,31.045516,121.216817,31.045516-121.216817,460
461,7652,31.169488,121.349667,31.169488-121.349667,461
462,7653,31.056648,121.404326,31.056648-121.404326,462
463,7680,31.087507,121.398717,31.087507-121.398717,463
464,7685,31.068209,121.373076,31.068209-121.373076,464
465,7696,31.113501,121.393037,31.113501-121.393037,465
466,7843,31.00816,121.274391,31.00816-121.274391,466
467,7850,31.060535,121.274528,31.060535-121.274528,467
468,7851,31.026816,121.426094,31.026816-121.426094,468
469,7860,31.08111,121.263537,31.08111-121.263537,469
470,7884,31.171972,121.140685,31.171972-121.140685,470
471,7907,31.086916,121.387535,31.086916-121.387535,471
472,7944,31.060038,121.195223,31.060038-121.195223,472
473,7955,31.113744,121.341878,31.113744-121.341878,473
474,7972,31.035283,121.246093,31.035283-121.246093,474
475,7995,31.099085,121.386207,31.099085-121.386207,475
476,8146,31.139255,121.409759,31.139255-121.409759,476
477,8204,31.164195,121.330502,31.164195-121.330502,477
478,8259,31.094914,121.43682,31.094914-121.43682,478
479,8319,31.137143,121.545715,31.137143-121.545715,479
480,8329,31.012479,121.240994,31.012479-121.240994,480
481,8331,31.078365,121.404647,31.078365-121.404647,481
482,8351,30.997412,121.247239,30.997412-121.247239,482
483,8354,31.051247,121.480621,31.051247-121.480621,483
484,8367,31.059755,121.389723,31.059755-121.389723,484
485,8382,31.161635,121.286602,31.161635-121.286602,485
486,8395,31.235929,121.449652,31.235929-121.449652,486
487,8423,31.119287,121.204986,31.119287-121.204986,487
488,8435,30.998611,121.216212,30.998611-121.216212,488
489,8449,30.98383,121.235077,30.98383-121.235077,489
490,8510,31.078791,121.422082,31.078791-121.422082,490
491,8560,31.10366,121.420217,31.10366-121.420217,491
492,8565,31.125695,121.46401,31.125695-121.46401,492
493,8571,31.012212,121.413472,31.012212-121.413472,493
494,8619,31.114131,121.394475,31.114131-121.394475,494
495,8663,31.198093,121.126168,31.198093-121.126168,495
496,8696,31.120822,121.29001,31.120822-121.29001,496
497,8712,31.142218,121.413767,31.142218-121.413767,497
498,8730,31.123621,121.266561,31.123621-121.266561,498
499,8744,31.088099,121.430111,31.088099-121.430111,499
500,8772,31.058092,121.235964,31.058092-121.235964,500
501,8826,31.045964,121.420076,31.045964-121.420076,501
502,8828,31.139657,121.298915,31.139657-121.298915,502
503,8866,31.03732,121.18963,31.03732-121.18963,503
504,8883,31.036429,121.324198,31.036429-121.324198,504
505,8888,31.040309,121.308498,31.040309-121.308498,505
506,8891,31.175621,121.317835,31.175621-121.317835,506
507,8949,31.148848,121.314851,31.148848-121.314851,507
508,8993,31.176807,121.251063,31.176807-121.251063,508
509,9007,31.013082,121.391811,31.013082-121.391811,509
510,9011,31.08532,121.237002,31.08532-121.237002,510
511,9018,31.111607,121.324796,31.111607-121.324796,511
512,9046,31.109649,121.402441,31.109649-121.402441,512
513,9111,31.051162,121.311884,31.051162-121.311884,513
514,9128,31.036987,121.386554,31.036987-121.386554,514
515,9161,31.155344,121.2025,31.155344-121.2025,515
516,9200,31.082701,121.448694,31.082701-121.448694,516
517,9241,31.126179,121.378046,31.126179-121.378046,517
518,9245,30.894923,121.319564,30.894923-121.319564,518
519,9256,30.866245,121.343018,30.866245-121.343018,519
520,9288,30.816155,121.298392,30.816155-121.298392,520
